license_core,concurrency_limit_core,license_premium_es,license_premium_itsi,license_premium_vmware,license_premium_exchange,license_premium_pci,concurrency_limit_premium
5,20,50,50,50,50,50,38
10,20,75,75,75,75,75,38
20,20,100,100,100,100,100,38
35,20,150,150,150,150,150,38
50,38,200,200,200,200,200,38
75,38,250,250,250,250,250,38
100,38,300,300,300,300,300,38
150,38,350,350,350,350,350,38
200,38,400,400,400,400,400,38
250,38,450,450,450,450,450,38
300,38,500,500,500,500,500,38
350,38,550,550,550,550,550,38
400,38,600,600,600,600,600,38
450,38,650,650,650,650,650,38
500,38,700,700,700,700,700,38
550,38,750,750,750,750,750,38
600,38,800,800,800,800,800,38
650,38,850,850,850,850,850,38
700,38,900,900,900,900,900,38
750,38,950,950,950,950,950,38
800,38,1000,1000,1000,1000,1000,38
850,38,1250,1250,1250,1250,1250,38
900,38,1500,1500,1500,1500,1500,38
950,38,1750,1750,1750,1750,1750,38
1000,100,2000,2000,2000,2000,2000,38
1250,100,2250,2250,2250,2250,2250,38
1500,100,2500,2500,2500,2500,2500,38
1750,100,2750,2750,2750,2750,2750,38
2000,100,3000,3000,3000,3000,3000,38
2250,100,3250,3250,3250,3250,3250,38
2500,100,3500,3500,3500,3500,3500,38
2750,100,3750,3750,3750,3750,3750,38
3000,100,4000,4000,4000,4000,4000,38
3250,100,4250,4250,4250,4250,4250,38
3500,100,4500,4500,4500,4500,4500,38
3750,100,4750,4750,4750,4750,4750,38
4000,100,5000,5000,5000,5000,5000,38
4250,100,5250,5250,5250,5250,5250,38
4500,100,5500,5500,5500,5500,5500,38
4750,100,5750,5750,5750,5750,5750,38
5000,100,6000,6000,6000,6000,6000,38
5250,100,6250,6250,6250,6250,6250,38
5500,100,6500,6500,6500,6500,6500,38
5750,100,6750,6750,6750,6750,6750,38
6000,100,7000,7000,7000,7000,7000,38
6250,100,7250,7250,7250,7250,7250,38
6500,100,7500,7500,7500,7500,7500,38
6750,100,7750,7750,7750,7750,7750,38
7000,100,8000,8000,8000,8000,8000,38
7250,100,8250,8250,8250,8250,8250,38
7500,100,8500,8500,8500,8500,8500,38
7750,100,8750,8750,8750,8750,8750,38
8000,100,9000,9000,9000,9000,9000,38
8250,100,9250,9250,9250,9250,9250,38
8500,100,9500,9500,9500,9500,9500,38
8750,100,9750,9750,9750,9750,9750,38
9000,100,10000,10000,10000,10000,10000,38
9250,100,10250,10250,10250,10250,10250,38
9500,100,10500,10500,10500,10500,10500,38
9750,100,10750,10750,10750,10750,10750,38
10000,100,11000,11000,11000,11000,11000,38
10250,100,11250,11250,11250,11250,11250,38
