appid,derived_st,conf_file
Splunk_TA_Nexthink,_json,eventtypes.conf
freenas_splunk-master,_json,inputs.conf
aqua_security,_json,macros.conf
Splunk_TA_nix,*_secure,eventtypes.conf
SA-EndpointProtection,*:SELinuxConfig,macros.conf
Splunk_TA_nix,*:Service,eventtypes.conf
SA-EndpointProtection,*:SSHDConfig,macros.conf
Splunk_TA_nix,*:SSHDConfig,eventtypes.conf
splunk_app_windows_infrastructure,*:System,eventtypes.conf
splunk_app_microsoft_exchange,*:System,eventtypes.conf
Splunk_TA_nix,*:Update,eventtypes.conf
Splunk_TA_nix,*:UserAccounts,eventtypes.conf
Splunk_TA_nix,*:VSFTPDConfig,eventtypes.conf
requests,`requests_prefix`_datasources,macros.conf
requests,`requests_prefix`_users,macros.conf
SplunkforSymantec,`sep_version`:admin,macros.conf
SplunkforSymantec,`sep_version`:agt_system,macros.conf
SplunkforSymantec,`sep_version`:behavior,macros.conf
SplunkforSymantec,`sep_version`:ids,macros.conf
SplunkforSymantec,`sep_version`:policy,macros.conf
SplunkforSymantec,`sep_version`:proactive,macros.conf
SplunkforSymantec,`sep_version`:risk,macros.conf
SplunkforSymantec,`sep_version`:scan,macros.conf
SplunkforSymantec,`sep_version`:scm_system,macros.conf
SplunkforSymantec,`sep_version`:traffic,macros.conf
barracuda_splunk,access,transforms.conf
spl_examples,access_*,eventtypes.conf
Splunk_TA_access_combined,access_combined,eventtypes.conf
SplunkAppForWebAnalytics,access_combined,inputs.conf
SQLInjection,access_combined,inputs.conf
extreme_networks_basic,access_list,transforms.conf
extreme_networks_basic,access_list_configuration,transforms.conf
extreme_networks_basic,access_list_dynamic,transforms.conf
ms_windows_ad_objects,ActiveDirectory,transforms.conf
sentinelone_TA,activity,inputs.conf
sentinelone_TA,activity_type,inputs.conf
SafeNetAT,activity-st,transforms.conf
physical_address_to_geolocation,addresses,inputs.conf
sentinelone_TA,agent,inputs.conf
TA-airdefense,airdefense,props.conf
FAA,airline_csv,inputs.conf
Splunk_TA_nix,aix_secure,props.conf
Splunk_TA_nix,AIX:*,eventtypes.conf
Splunk_TA_akamai,akamai:cm:json,eventtypes.conf
TA-alcatel,alcatel,transforms.conf
PeopleSoft,alert,inputs.conf
ironnet_splunk,alert,inputs.conf
alert_manager,alert_manager_migration,inputs.conf
alert_manager,alert_manager_scheduler,inputs.conf
TA-apigee-edge-private-cloud,apigee:cassandra:apigee-cassandra,inputs.conf
TA-apigee-edge-private-cloud,apigee:cassandra:system,inputs.conf
TA-apigee-edge-private-cloud,apigee:config,inputs.conf
TA-apigee-edge-private-cloud,apigee:edge-message-processor,inputs.conf
TA-apigee-edge-private-cloud,apigee:edge-mgmt:edge-mgmt-server,inputs.conf
TA-apigee-edge-private-cloud,apigee:edge-mgmt:system-monitor,inputs.conf
TA-apigee-edge-private-cloud,apigee:edge-postgres:edge-postgres-server,inputs.conf
TA-apigee-edge-private-cloud,apigee:edge-qpid:edge-qpid-server,inputs.conf
TA-apigee-edge-private-cloud,apigee:edge-router:edge-router,inputs.conf
TA-apigee-edge-private-cloud,apigee:edge-router:nginx_access,inputs.conf
TA-apigee-edge-private-cloud,apigee:edge-router:nginx_error,inputs.conf
TA-apigee-edge-private-cloud,apigee:edge-ui:edge-ui,inputs.conf
TA-apigee-edge-private-cloud,apigee:edge:access,inputs.conf
TA-apigee-edge-private-cloud,apigee:edge:advisory,inputs.conf
TA-apigee-edge-private-cloud,apigee:edge:audit,inputs.conf
TA-apigee-edge-private-cloud,apigee:edge:envvalidator,inputs.conf
TA-apigee-edge-private-cloud,apigee:edge:events,inputs.conf
TA-apigee-edge-private-cloud,apigee:edge:migration,inputs.conf
TA-apigee-edge-private-cloud,apigee:edge:scheduler,inputs.conf
TA-apigee-edge-private-cloud,apigee:edge:startup,inputs.conf
TA-apigee-edge-private-cloud,apigee:edge:system,inputs.conf
TA-apigee-edge-private-cloud,apigee:edge:system-monitor,inputs.conf
TA-apigee-edge-private-cloud,apigee:edge:transactions,inputs.conf
TA-apigee-edge-private-cloud,apigee:openldap:apigee-openldap,inputs.conf
TA-apigee-edge-private-cloud,apigee:postgresql:apigee-postgresql,inputs.conf
TA-apigee-edge-private-cloud,apigee:postgresql:postgresql,inputs.conf
TA-apigee-edge-private-cloud,apigee:postgresql:startup,inputs.conf
TA-apigee-edge-private-cloud,apigee:qpidd:apigee-qpidd,inputs.conf
TA-apigee-edge-private-cloud,apigee:qpidd:qpid,inputs.conf
TA-apigee-edge-private-cloud,apigee:zookeeper:apigee-zookeeper,inputs.conf
TA-apigee-edge-private-cloud,apigee:zookeeper:zookeeper,inputs.conf
F5AccessApp,apm_log,transforms.conf
SplunkforF5Access,apm_log,transforms.conf
F5AccessApp,apm_sourcetyper,props.conf
SplunkforF5Access,apm_sourcetyper,props.conf
SA-Utils,app_certs_rest_handler,props.conf
SA-Utils,app_imports_update,props.conf
SplunkEnterpriseSecuritySuite,app_permissions_controller,props.conf
SplunkEnterpriseSecuritySuite,app_permissions_manager,props.conf
Splunk_TA_AppDynamics,appdynamics_single_api,inputs.conf
Splunk_TA_AppDynamics,appdynamics_summary,inputs.conf
splunk_app_AppDynamics,appdynamics_summary,savedsearches.conf
SA-Utils,appmaker:base_class,props.conf
SA-Utils,appmaker:make_content_pack,props.conf
SA-arpwatch,arpwatch,transforms.conf
TA-arpwatch,arpwatch:script,inputs.conf
SplunkforF5Security,asm_log,savedsearches.conf
network_behavior_analytics,asoc:nba:event,inputs.conf
datiphy,asset,props.conf
homemonitor,asus,transforms.conf
TA-RealTimeJIRAServiceDeskConnectorForSplunk,atlassian:jiraservicedesk:ticket:json,inputs.conf
barracuda_splunk,audit,transforms.conf
SafeNetAT,audit-st,transforms.conf
Splunk_TA_nix,auditd,inputs.conf
SplunkAdmins,audittrail,savedsearches.conf
DA-ESS-ContentUpdate,audittrail,savedsearches.conf
automatic,automatic_trip,macros.conf
automatic,automatic_vehicle,macros.conf
TA-avi-vantage,avi,transforms.conf
TA-avi-vantage,avimetrics,inputs.conf
splunk_app_aws,aws:anomaly,macros.conf
Splunk_TA_aws,aws:billing,inputs.conf
splunk_app_aws,aws:billing,macros.conf
Splunk_TA_aws,aws:billing:log,props.conf
Splunk_TA_aws-kinesis-firehose,aws:cloudtrail,transforms.conf
Splunk_TA_aws,aws:cloudtrail,inputs.conf
DA-ESS-ContentUpdate,aws:cloudtrail,savedsearches.conf
splunk_app_aws,aws:cloudtrail,macros.conf
Splunk_TA_aws,aws:cloudtrail:log,props.conf
Splunk_TA_aws,aws:cloudwatch,inputs.conf
splunk_app_aws,aws:cloudwatch,macros.conf
Splunk_TA_aws-kinesis-firehose,aws:cloudwatch:guardduty,transforms.conf
TA-aws_guardduty,aws:cloudwatch:guardduty,eventtypes.conf
Splunk_TA_aws,aws:cloudwatch:log,props.conf
Splunk_TA_aws,aws:cloudwatchlogs,inputs.conf
Splunk_TA_aws,aws:cloudwatchlogs:log,props.conf
Splunk_TA_aws-kinesis-firehose,aws:cloudwatchlogs:vpcflow,eventtypes.conf
Splunk_TA_aws,aws:cloudwatchlogs:vpcflow,eventtypes.conf
DA-ESS-ContentUpdate,aws:cloudwatchlogs:vpcflow,savedsearches.conf
splunk_app_aws,aws:cloudwatchlogs:vpcflow,macros.conf
Splunk_TA_aws,aws:config,inputs.conf
DA-ESS-ContentUpdate,aws:config,savedsearches.conf
splunk_app_aws,aws:config,macros.conf
Splunk_TA_aws,aws:config:log,props.conf
Splunk_TA_aws,aws:config:notification,eventtypes.conf
splunk_app_aws,aws:config:notification,macros.conf
Splunk_TA_aws,aws:config:rule,inputs.conf
splunk_app_aws,aws:config:rule,macros.conf
Splunk_TA_aws,aws:configrule:log,props.conf
Splunk_TA_aws,aws:configtool:log,props.conf
Splunk_TA_aws,aws:description,inputs.conf
SecKit_SA_idm_aws,aws:description,savedsearches.conf
DA-ESS-ContentUpdate,aws:description,savedsearches.conf
splunk_app_aws,aws:description,macros.conf
Splunk_TA_aws,aws:description:log,props.conf
Splunk_TA_aws,aws:elb:accesslogs,eventtypes.conf
Splunk_TA_aws,aws:inspector,inputs.conf
splunk_app_aws,aws:inspector,macros.conf
